confident,lead,flagship_line,alias_terms,code,score,runner_up,reasons,keys
true,hartwalker,HARTWALKER VODKA,hartwalker vodka,35418,10,,sizes:1,hartwalker
true,hattington,HATTINGTON S BLACKBERRY BRANDY,hattington blackberry brandy,27143,2,,sizes:1|flavors:1,hattington
true,hb,HB WHISKEY WAR DBL DBL OAKD,hb whiskey war dbl dbl,32442,10,,sizes:1,
true,hdw,HDW CENTURY VODKA,hdw century vodka,32040,10,,sizes:1,hdw|hdw century
true,heart,HEART OF GLASS STRAWBERRY VODK,heart of glass strawberry vodk,34641,2,,sizes:1|flavors:1,heart|heart of
true,heaven,HEAVEN S DOOR STRT BBN REVIVAL,heaven door strt bbn revival,19669,20,HEAVEN HILL LIGHT V I (10),sizes:2,heaven|heaven hill
true,hedonist,HEDONIST FRENCH GINGER LIQUEUR,hedonist french ginger liqueur,33831,2,,sizes:1|flavors:1,hedonist|hedonist french
true,hedy,HEDY S CHERRY INFUSED BRANDY,hedy cherry infused brandy,31740,2,,sizes:1|flavors:1,hedy
true,heering,HEERING CHERRY LIQ,heering cherry liq,15070,2,,sizes:1|flavors:1,heering|heering cherry
true,helix,HELIX,helix,14245,10,,sizes:1,helix
true,hendrick,HENDRICK S GIN,hendrick gin,3995,50,HENDRICK S ANOTHER GIN (20),sizes:5,hendrick
true,hennessy,HENNESSY V S,hennessy,37127,70,HENNESSY V S O P (60),sizes:7,hennessy|hennessy rita|hennessy iced|hennessy berry|hennessy vsop|hennessy xo|hennessy paradis|hennessy black|hennessy master|hennessy richard|hennessy vs
true,henri,HENRI BARDOIUN PASTIS,henri bardoiun pastis,22449,10,,sizes:1,henri|henri bardoiun
true,henry,HENRY MCKENNA BOURBON,henry mckenna bourbon,10452,20,HENRY MCKENNA SINGLE BARREL (2),sizes:2,henry|henry mckenna
true,herbsaint,HERBSAINT,herbsaint,10441,10,,sizes:1,herbsaint
true,heritage,HERITAGE DUAL BARREL BOURBON,heritage dual barrel bourbon,35181,2,,sizes:1|flavors:1,heritage|heritage dual
true,hermes,HERMES OUZO,hermes ouzo,27221,10,,sizes:1,hermes|hermes ouzo
true,heroes,HEROES AMERICAN VODKA,heroes american vodka,19399,30,,sizes:3,heroes|heroes american
true,hi5,HI5 VODKA,hi5 vodka,101700,10,,sizes:1,hi5
